time,symbol,price,volume
2026-03-25 16:45:19,BINANCE:BTCUSDT,71263.01,0.00048
2026-03-25 16:45:19,BINANCE:ETHUSDT,2180.98,0.0024
2026-03-25 16:45:19,BINANCE:BTCUSDT,71263.01,0.01296
2026-03-25 16:45:19,BINANCE:ETHUSDT,2180.98,0.0025
2026-03-25 16:45:19,BINANCE:BTCUSDT,71263.01,0.04287
2026-03-25 16:45:19,BINANCE:ETHUSDT,2180.97,0.0023
2026-03-25 16:45:19,BINANCE:BTCUSDT,71263.01,0.01
2026-03-25 16:45:19,BINANCE:ETHUSDT,2180.97,0.0023
2026-03-25 16:45:19,BINANCE:ETHUSDT,2180.97,0.0024
2026-03-25 16:45:19,BINANCE:ETHUSDT,2180.97,0.0025
2026-03-25 16:45:19,BINANCE:BTCUSDT,71263.01,0.00028
2026-03-25 16:45:19,BINANCE:ETHUSDT,2180.97,0.0023
2026-03-25 16:45:19,BINANCE:ETHUSDT,2180.97,0.0023
2026-03-25 16:45:19,BINANCE:BTCUSDT,71263.01,0.499
2026-03-25 16:45:19,BINANCE:ETHUSDT,2180.95,0.0025
2026-03-25 16:45:19,BINANCE:ETHUSDT,2180.95,0.0025
2026-03-25 16:45:19,BINANCE:ETHUSDT,2180.95,0.026
2026-03-25 16:45:19,BINANCE:ETHUSDT,2180.94,0.0023
2026-03-25 16:45:19,BINANCE:ETHUSDT,2180.94,0.0023
2026-03-25 16:45:19,BINANCE:ETHUSDT,2180.92,0.023
2026-03-25 16:45:19,BINANCE:BTCUSDT,71263.01,0.00015
2026-03-25 16:45:19,BINANCE:ETHUSDT,2180.92,0.0024
2026-03-25 16:45:19,BINANCE:BTCUSDT,71263.01,0.01408
2026-03-25 16:45:19,BINANCE:ETHUSDT,2180.91,0.0023
2026-03-25 16:45:19,BINANCE:BTCUSDT,71263.01,0.00069
2026-03-25 16:45:19,BINANCE:BTCUSDT,71263.01,8e-05
2026-03-25 16:45:19,BINANCE:ETHUSDT,2180.91,0.0025
